ID,Lon,Lat,Name,Organization
WL031,91.8333,22.323,SadarghatCTG,BIWTA
WL032,89.8717,23.8272,Aricha,BIWTA
WL033,89.6845,23.1327,Bardia,BIWTA
WL034,90.3714,22.6834,Barisal,BIWTA
WL035,89.7168,22.556,Betbunia,BIWTA
WL036,90.4398,22.7854,Bhasanchar,BIWTA
WL037,89.9284,21.999,Charduani,BIWTA
WL038,90.8545,22.656,Chitalkhali,BIWTA
WL039,91.9554,21.4836,CoxsBazar,BIWTA
WL040,90.5857,22.2453,Dasmina,BIWTA
WL041,90.5834,22.5438,Dhulia,BIWTA
WL042,91.05,22.2188,Charchanga,BIWTA
WL043,90.2306,21.9769,Khepupara,BIWTA
WL044,89.5308,22.5995,Mongla,BIWTA
WL045,91.805,22.221,Patenga,BIWTA
WL046,90.6385,23.2344,Chandpur,BIWTA
WL047,89.7755,22.5346,Ghasiakhali,BIWTA
WL048,90.0805,22.6484,Kawkhali,BIWTA
WL049,90.3734,22.9263,NandirBazar,BIWTA
WL050,90.3583,22.3598,Patuakhali,BIWTA
WL051,90.6503,22.8076,Ramdaspur,BIWTA
WL052,91.4246,22.4772,Sandwip,BIWTA
WL053,89.7557,23.0157,Singati,BIWTA
WL054,89.3192,22.1912,Angtihara,BIWTA
WL055,90.0951,21.8686,Kuakata,BIWTA
WL056,90.4066,22.1693,Galachipa,BIWTA
WL057,90.8723,22.4087,Tajumuddin,BIWTA
