ID,Lon,Lat,Name,Organization
WL058,89.3852,23.1145,Afraghat,BWDB
WL059,90.2222,22.1446,Amtali,BWDB
WL060,89.3818,23.3827,Arpara,BWDB
WL061,90.3155,22.8221,Babuganj,BWDB
WL062,89.8044,22.6486,Bagerhat,BWDB
WL063,90.3395,22.5455,Bakerganj,BWDB
WL064,90.0969,22.3444,Bamna,BWDB
WL065,90.0747,22.1584,Barguna,BWDB
WL066,90.3804,22.6992,Barisal,BWDB
WL067,89.0161,22.3069,Basantapur,BWDB
WL068,90.1799,22.4349,Betagi,BWDB
WL069,90.1867,23.4864,Bhagyakul,BWDB
WL070,89.9896,23.3832,Bhanga,BWDB
WL071,89.6919,23.2153,Bhatiapara,BWDB
WL072,90.7525,22.8574,Bhawaganj,BWDB
WL073,90.5707,22.6799,BholaKheyaGhat,BWDB
WL074,89.5279,22.6031,Chalna,BWDB
WL075,90.8557,22.6579,Chitalkhali,BWDB
WL076,90.8214,22.6053,Daulatkhan,BWDB
WL077,91.8982,22.4069,Enayethat,BWDB
WL078,89.8314,23.5981,Faridpur,BWDB
WL079,89.5581,22.9609,Gazirhat,BWDB
WL080,90.4201,22.1775,Galachipa,BWDB
WL081,90.2319,22.9776,Gournadi,BWDB
WL082,90.6569,23.266,Hajiganj,BWDB
WL083,89.8185,23.0545,Haridaspur,BWDB
WL084,91.1098,22.4251,Haitya,BWDB
WL085,90.1782,22.6265,Jhalokati,BWDB
WL086,90.0904,23.2693,Kabirajpur,BWDB
WL087,89.0782,22.1896,Kaikhali,BWDB
WL088,90.4428,22.4567,Kaitpara,BWDB
WL089,89.5309,23.2387,KalaChandpur,BWDB
WL090,89.4379,23.2593,KhaturMagura,BWDB
WL091,89.5711,22.8184,Khulna,BWDB
WL092,89.3055,22.2145,Kobadak,BWDB
WL093,90.7442,22.8705,Lakshmipur,BWDB
WL094,91.8992,21.8487,Lemiskhali,BWDB
WL095,89.6535,23.1803,Lohagora,BWDB
WL096,90.2105,23.1877,Madaripur,BWDB
WL097,90.6429,23.3215,MatlabBazar,BWDB
WL098,90.2552,23.4601,Mawa,BWDB
WL099,90.2293,22.3431,Mirzaganj,BWDB
WL100,89.5937,22.4696,Mongla,BWDB
WL101,90.1385,23.1615,Mostafapur,BWDB
WL102,89.4234,22.4574,NalianalaHadda,BWDB
WL103,89.5078,23.172,Narail,BWDB
WL104,89.9678,22.7074,Nazirpur,BWDB
WL105,90.5735,23.0752,Nilkamal,BWDB
WL106,90.0935,23.462,OfftakeArialkhan,BWDB
WL107,89.7902,22.9814,OfftakeAtherobanki,BWDB
WL108,91.9319,22.4227,OutfallKarnafuli,BWDB
WL109,89.3888,22.5783,Paikgacha,BWDB
WL110,89.981,22.0354,Pathargata,BWDB
WL111,89.9647,22.5821,Pirojpur,BWDB
WL112,89.2356,22.2902,Protapnagar,BWDB
WL113,89.5149,23.1974,Ratandanga,BWDB
WL114,89.8643,22.3125,Rayenda,BWDB
WL115,91.9798,21.6501,Saflapur,BWDB
WL116,90.5871,23.4732,Satnal,BWDB
WL117,88.9457,22.3168,Shakra,BWDB
WL118,90.4243,23.3288,Sureswar,BWDB
WL119,89.4197,22.5073,Sutarkhali,BWDB
WL120,90.1046,22.766,Swarupkati,BWDB
WL121,90.852,22.4696,Tajumuddin,BWDB
WL122,90.4775,23.4049,Tarpasa,BWDB
WL123,91.8567,22.4688,Telpari,BWDB
WL124,90.487,22.6767,Tongibari,BWDB
WL125,89.976,22.4915,Umedpur,BWDB
WL126,90.2535,22.8067,Uzirpur,BWDB
